Price,Rooms,Type,Status,Parking Spaces,Land Size,Building Size,Architecture Style,County,Provider
"USD $2,000 per month","2 bedroom(s), 1 bathroom(s), 1 basement(s)",House,Active,,,148.64 m2,Bungalow,BERKS,"Godfrey Properties, LLC"
"USD $3,700 per month","3 bedroom(s), 4 bathroom(s), 1 basement(s)",Townhouse,Active,,161.87 m2,243.41 m2,Other,FREDERICK,Keller Williams Realty Centre
"USD $2,900 per month","3 bedroom(s), 2 bathroom(s), 1 basement(s)",Townhouse,Active,1,161.87 m2,152.36 m2,New Traditional,CAMDEN,Tesla Realty Group LLC
"USD $2,230 per month","3 bedroom(s), 3 bathroom(s)",Townhouse,Active,,,112.41 m2,Other,HARFORD,Cummings & Co. Realtors
"USD $2,000 per month","2 bedroom(s), 2 bathroom(s)",Townhouse,Active,,,117.71 m2,Contemporary,CAMDEN,RE/MAX Preferred
"USD $2,500 per month","3 bedroom(s), 2 bathroom(s)",House,Active,,890.31 m2,155.24 m2,Other,Pinellas,"Coastal Properties Group International, LLC"
"USD $1,900 per month","2 bedroom(s), 2 bathroom(s)",Apartment,Active,,890.31 m2,100.99 m2,Other,Osceola,Eaton Realty Services
"USD $2,500 per month","4 bedroom(s), 2 bathroom(s), 1 livingroom(s)",House,Active,,930.78 m2,204.57 m2,Other,Flagler,"Florida Dreams Properties, Inc."
"USD $7,999 per month","5 bedroom(s), 4 bathroom(s)",House,Active,,485.62 m2,240.25 m2,Other,Hillsborough,"Charles Rutenberg Realty, Inc"
"USD $2,750 per month","2 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Apartment,Active,,"7,810.44 m2",121.42 m2,Other,Pinellas,Keller Williams St. Pete Realty
"USD $1,100 per month","1 bedroom(s), 1 bathroom(s)",Townhouse,Active,,161.87 m2,106.65 m2,Other,PHILADELPHIA,onyx real estate
"USD $1,000 per month","2 bedroom(s), 1 bathroom(s), 1 livingroom(s)",House,Active,,687.97 m2,79.71 m2,Other,Polk,RE/MAX Experts
"USD $2,400 per month","2 bedroom(s), 1 bathroom(s), 1 basement(s)",Townhouse,Active,,80.94 m2,69.49 m2,New Traditional,BALTIMORE CITY,Yaffe Real Estate
"USD $2,850 per month","4 bedroom(s), 3 bathroom(s), 1 basement(s)",House,Active,2,849.84 m2,233.37 m2,Split Level,PRINCE GEORGES,Home Source Real Estate Solutions
"USD $2,200 per month","3 bedroom(s), 2 bathroom(s)",House,Active,,768.90 m2,197.05 m2,Other,Marion,Keller Williams Cornerstone Realty
"USD $1,650 per month","2 bedroom(s), 2 bathroom(s)",Apartment,Active,,,82.68 m2,Other,HARFORD,Cummings & Co. Realtors
"USD $1,475 per month","1 bedroom(s), 1 bathroom(s)",Apartment,Active,,"176,281,216.00 m2",66.15 m2,Other,Seminole,"Lawhun Enterprises, LLC"
"USD $10,500 per month","2 bedroom(s), 3 bathroom(s)",Apartment,Active,,,235.70 m2,Other,Hillsborough,The Toni Everett Company
"USD $1,975 per month","3 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Apartment,Active,,80.94 m2,143.26 m2,Other,Polk,CT Homes Realty Corp.
"USD $4,300 per month","3 bedroom(s), 3 bathroom(s)",Apartment,Active,,"566,560.38 m2",217.21 m2,Other,Charlotte,RE/MAX Anchor Realty
"USD $2,850 per month","4 bedroom(s), 2 bathroom(s)",House,Active,,"1,173.59 m2",236.07 m2,Other,Osceola,Keller Williams Realty Advantage III Realty
"USD $2,500 per month","4 bedroom(s), 4 bathroom(s)",House,Active,,242.81 m2,242.85 m2,Other,Osceola,Joseph La Rosa
"USD $1,800 per month","2 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Townhouse,Active,,80.94 m2,96.15 m2,Other,Hillsborough,Realty One Group Advantage
"USD $2,100 per month","4 bedroom(s), 2 bathroom(s), 1 basement(s)",Townhouse,Active,,,220.74 m2,Colonial,MONTGOMERY,RE/MAX Legacy
"USD $2,250 per month","3 bedroom(s), 2 bathroom(s), 1 livingroom(s)",House,Active,,"1,497.34 m2",121.70 m2,Other,Hillsborough,RE/MAX Alliance Group
"USD $1,700 per month","1 bedroom(s), 1 bathroom(s)",Apartment,Active,,,78.97 m2,Other,Pinellas,"Charles Rutenberg Realty, Inc"
"USD $2,200 per month","4 bedroom(s), 3 bathroom(s), 1 livingroom(s)",House,Active,,"30,270.51 m2",250.84 m2,Other,Polk,"LPT Realty, LLC."
"USD $1,500 per month","2 bedroom(s), 1 bathroom(s)",House,Active,2,"12,181.05 m2",,Rambler,MADISON,"Montague, Miller & Company"
"USD $13,500 per month","6 bedroom(s), 6 bathroom(s), 1 livingroom(s)",House,Active,,647.50 m2,449.93 m2,Other,Hillsborough,Keller Williams St. Pete Realty
"USD $2,300 per month","3 bedroom(s), 2 bathroom(s)",Apartment,Active,,728.43 m2,112.60 m2,Other,Orange,Upside Real Estate
"USD $1,800 per month","3 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Apartment,Active,,80.94 m2,140.84 m2,Other,Osceola,Orlando South LLC
USD $16 per month,,Other,Active,,"27,882.87 m2","19,496.54 m2",Other,San Juan,"Two20 Group, LLC"
"USD $1,695 per month","3 bedroom(s), 2 bathroom(s)",House,Active,,849.84 m2,117.43 m2,Other,Polk,CONNECTION REALTY
"USD $2,900 per month","2 bedroom(s), 1 bathroom(s), 1 livingroom(s)",House,Active,,687.97 m2,100.34 m2,Other,Pinellas,EZ Choice Realty
"USD $2,600 per month","2 bedroom(s), 2 bathroom(s)",Apartment,Active,2,,130.06 m2,Loft,PHILADELPHIA,Kurfiss Sotheby's International Realty
USD $999 per month,,Other,Active,5,,,Other,DELAWARE,Keller Williams Main Line
"USD $2,400 per month","4 bedroom(s), 2 bathroom(s), 1 basement(s)",House,Active,,"1,416.40 m2",,Rambler,FREDERICKSBURG CITY,Samson Properties
"USD $2,295 per month","3 bedroom(s), 3 bathroom(s)",House,Active,,445.15 m2,149.48 m2,Other,Osceola,"Lawhun Enterprises, LLC"
"USD $2,800 per month","4 bedroom(s), 3 bathroom(s)",House,Active,,930.78 m2,200.02 m2,Other,Sarasota,WRA Real Estate Solutions LLC
"USD $2,900 per month","3 bedroom(s), 2 bathroom(s), 1 livingroom(s)",House,Active,,607.03 m2,146.79 m2,Other,Pinellas,Archwater Realty
"USD $3,500 per month","4 bedroom(s), 3 bathroom(s), 1 basement(s)",House,Active,3,647.50 m2,171.13 m2,Other,PRINCE GEORGES,Keller Williams Realty
"USD $1,895 per month","2 bedroom(s), 3 bathroom(s)",Townhouse,Active,,445.15 m2,99.50 m2,Other,Orange,"Lawhun Enterprises, LLC"
"USD $1,750 per month","3 bedroom(s), 1 bathroom(s), 1 basement(s)",Townhouse,Active,,80.94 m2,98.11 m2,Other,PHILADELPHIA,Coldwell Banker Preferred
"USD $2,700 per month","2 bedroom(s), 3 bathroom(s)",Townhouse,Active,,242.81 m2,123.00 m2,Other,Orange,CT Homes Realty Corp.
"USD $2,750 per month","3 bedroom(s), 3 bathroom(s), 1 livingroom(s)",House,Active,,526.09 m2,188.04 m2,Other,Manatee,"LPT Realty, LLC."
"USD $2,225 per month","1 bedroom(s), 1 bathroom(s)",Apartment,Active,,,,Contemporary,Middlesex,"Keller Williams Elite, Realtors"
"USD $2,600 per month","3 bedroom(s), 2 bathroom(s)",Townhouse,Active,,80.94 m2,155.33 m2,Colonial,ANNE ARUNDEL,eXp Realty LLC
"USD $3,200 per month","3 bedroom(s), 4 bathroom(s), 1 basement(s)",Townhouse,Active,,161.87 m2,143.07 m2,Colonial,FAIRFAX,Keller Williams Capital Prop.
USD $675 per month,"1 bedroom(s), 1 bathroom(s)",Apartment,Active,,,59.46 m2,Other,Sebastian,Meador Realty Associates
"USD $1,700 per month","1 bedroom(s), 1 bathroom(s)",Other,Active,,"2,028.29 m2",87.51 m2,Contemporary,Middlesex,COLDWELL BANKER RESIDENTIAL BROKERAGE
"USD $1,200 per month","2 bedroom(s), 1 bathroom(s), 1 basement(s)",Apartment,Active,,,668.90 m2,Contemporary,PHILADELPHIA,Keller Williams Realty - Cherry Hill
"USD $3,900 per month","3 bedroom(s), 2 bathroom(s)",Townhouse,Active,,161.87 m2,146.60 m2,Federal,WASHINGTON,eXp Realty LLC
"USD $1,750 per month","2 bedroom(s), 1 bathroom(s)",Apartment,Active,,485.62 m2,92.90 m2,New Traditional,WASHINGTON,Sellstate Dominion Realty
"USD $2,695 per month","2 bedroom(s), 3 bathroom(s)",Townhouse,Active,1,,167.97 m2,Contemporary,BUCKS,"Newtown Partners Realty, LLC"
"USD $2,500 per month","3 bedroom(s), 4 bathroom(s), 1 basement(s)",Townhouse,Active,2,161.87 m2,167.23 m2,Colonial,MONTGOMERY,"UnionPlus Realty, Inc."
"USD $2,400 per month","2 bedroom(s), 1 bathroom(s)",Apartment,Active,,,85.28 m2,Contemporary,WASHINGTON,Better Homes and Gardens Real Estate Premier
"USD $2,850 per month","3 bedroom(s), 4 bathroom(s)",Townhouse,Active,1,242.81 m2,213.49 m2,Craftsman,ALBEMARLE,The Virtual Realty Group
"USD $3,450 per month","3 bedroom(s), 4 bathroom(s), 1 basement(s)",Townhouse,Active,1,202.34 m2,186.74 m2,New Traditional,FAIRFAX,Compass
"USD $1,800 per month","2 bedroom(s), 2 bathroom(s)",Apartment,Active,2,,122.63 m2,Loft,FAUQUIER,Century 21 New Millennium
"USD $2,800 per month","4 bedroom(s), 4 bathroom(s), 1 basement(s)",Townhouse,Active,1,202.34 m2,194.54 m2,Craftsman,FREDERICK,"Spring Hill Real Estate, LLC."
"USD $3,200 per month","3 bedroom(s), 5 bathroom(s), 1 basement(s)",Townhouse,Active,,161.87 m2,147.16 m2,New Traditional,FAIRFAX,Keller Williams Capital Prop.
"USD $1,150 per month","1 bedroom(s), 1 bathroom(s), 1 basement(s)",Townhouse,Active,,121.41 m2,55.74 m2,Contemporary,PHILADELPHIA,Keller Williams Realty - Cherry Hill
"USD $2,895 per month","2 bedroom(s), 2 bathroom(s)",Apartment,Active,,,112.04 m2,Other,ARLINGTON,Peabody Real Estate LLC
"USD $2,500 per month","3 bedroom(s), 2 bathroom(s)",Townhouse,Active,,202.34 m2,114.46 m2,Colonial,FAIRFAX,Samson Properties
"USD $2,500 per month","2 bedroom(s), 2 bathroom(s)",Apartment,Active,,80.94 m2,72.46 m2,Other,WASHINGTON,Coldwell Banker Residential Brokerage
"USD $1,725 per month","1 bedroom(s), 1 bathroom(s)",Apartment,Active,,971.25 m2,56.67 m2,Other,PHILADELPHIA,National Realty Old City LLC
"USD $3,800 per month","3 bedroom(s), 4 bathroom(s), 1 basement(s)",House,Active,1,323.75 m2,273.41 m2,Colonial,FAIRFAX,Samson Properties
"USD $2,000 per month","2 bedroom(s), 2 bathroom(s)",Townhouse,Active,,80.94 m2,102.19 m2,Other,PHILADELPHIA,Re/max Access
USD $4 per month,,Other,Active,1,40.47 m2,,Other,WASHINGTON,Fairfax Realty Select
"USD $2,300 per month","4 bedroom(s), 3 bathroom(s)",House,Active,,"1,011.72 m2",163.88 m2,Rambler,WESTMORELAND,Keller Williams Capital Prop.
"USD $2,250 per month","1 bedroom(s), 2 bathroom(s)",Apartment,Active,,40.47 m2,69.68 m2,Art Deco,WASHINGTON,Coldwell Banker Residential Brokerage
"USD $1,650 per month","1 bedroom(s), 1 bathroom(s)",Apartment,Active,,971.25 m2,50.17 m2,Other,PHILADELPHIA,National Realty Old City LLC
"USD $1,795 per month","1 bedroom(s), 1 bathroom(s)",Apartment,Active,,971.25 m2,87.79 m2,Other,PHILADELPHIA,National Realty Old City LLC
"USD $2,995 per month","3 bedroom(s), 3 bathroom(s)",House,Active,,,180.42 m2,Other,Travis,Keller Williams - Lake Travis
"USD $3,800 per month","3 bedroom(s), 3 bathroom(s)",Townhouse,Active,,,182.46 m2,Other,Travis,Keller Williams Realty International
"USD $2,750 per month","3 bedroom(s), 3 bathroom(s)",Townhouse,Active,,,125.42 m2,Colonial,MONTGOMERY,RE/MAX 100
"USD $4,300 per month","3 bedroom(s), 3 bathroom(s)",House,Active,,,,Other,,Keller Williams Village Square Realty
"USD $2,200 per month","1 bedroom(s), 1 bathroom(s)",Apartment,Active,,,63.36 m2,Other,WASHINGTON,Compass
"USD $1,725 per month","1 bedroom(s), 1 bathroom(s)",Apartment,Active,,971.25 m2,56.67 m2,Other,PHILADELPHIA,National Realty Old City LLC
"USD $1,950 per month","2 bedroom(s), 2 bathroom(s)",Apartment,Active,,,86.21 m2,Other,Travis,Keller Williams - Austin Northwest
"USD $3,200 per month","3 bedroom(s), 4 bathroom(s), 1 basement(s)",Townhouse,Active,2,161.87 m2,155.89 m2,Colonial,FAIRFAX,Berkshire Hathaway HomeServices PenFed Realty
"USD $5,750 per month","4 bedroom(s), 4 bathroom(s), 1 basement(s)",House,Active,2,566.56 m2,238.20 m2,Colonial,ARLINGTON,RLAH @properties
"USD $2,750 per month","2 bedroom(s), 1 bathroom(s), 1 livingroom(s), 1 basement(s)",Other,Active,,930.78 m2,,Other,Fairfield,Compass
"USD $22,000 per month","6 bedroom(s), 6 bathroom(s), 1 livingroom(s), 1 basement(s)",House,Active,3,"1,578.28 m2",320.33 m2,Tudor,Fairfield,Douglas Elliman of Connecticut LLC
"USD $1,100 per month","2 bedroom(s), 2 bathroom(s)",Apartment,Active,2,564.54 m2,84.54 m2,Other,Hidalgo,RE/MAX elite
"USD $4,500 per month",,Other,Active,5,"5,625.14 m2","1,783.74 m2",Other,Hidalgo,Encore Fine Properties
USD $895 per month,"2 bedroom(s), 2 bathroom(s)",Apartment,Active,,,102.19 m2,Other,Sebastian,Meador Realty Associates
USD $625 per month,"2 bedroom(s), 1 bathroom(s)",Apartment,Active,,,66.43 m2,Other,Crawford,Meador Realty Associates
"USD $2,100 per month","3 bedroom(s), 3 bathroom(s)",Other,Active,,,171.87 m2,Other,Dawson - GA,Virtual Properties Realty
"USD $2,995 per month","4 bedroom(s), 3 bathroom(s)",Other,Active,,121.41 m2,253.07 m2,New Traditional,Cobb - GA,Sturgis Realty Group
"USD $4,800 per month","2 bedroom(s), 2 bathroom(s)",Apartment,Active,,740.17 m2,142.14 m2,New Traditional,Lee,"Lee Island Coast Real Estate, Inc"
"USD $4,600 per month","2 bedroom(s), 2 bathroom(s)",Apartment,Active,,,125.60 m2,Other,Collier,JCS Realty & Management Co
"USD $2,750 per month","3 bedroom(s), 2 bathroom(s)",House,Active,2,"3,254.48 m2",126.35 m2,New Traditional,Fulton - GA,Keller Williams Realty Metro Atlanta
"USD $2,895 per month","4 bedroom(s), 3 bathroom(s)",House,Active,2,"1,157.40 m2",190.45 m2,New Traditional,Cobb - GA,eXp Realty
"USD $1,300 per month","1 bedroom(s), 1 bathroom(s)",House,Active,,"2,144.84 m2",41.81 m2,Ranch,Gwinnett - GA,eXp Realty
"USD $2,400 per month","3 bedroom(s), 3 bathroom(s)",Other,Active,,,175.96 m2,Other,Gwinnett - GA,Keller Williams Realty - North Atlanta
"USD $1,950 per month","3 bedroom(s), 3 bathroom(s)",House,Active,2,283.28 m2,118.36 m2,New Traditional,Cherokee - GA,Real Property Management Exectives Greater Atlanta
USD $900 per month,"1 bedroom(s), 1 bathroom(s)",Townhouse,Active,2,883.02 m2,341.14 m2,Other,Fulton - GA,"Realtyka, LLC"
"USD $2,350 per month","3 bedroom(s), 3 bathroom(s)",House,Active,2,637.79 m2,176.52 m2,New Traditional,Fulton - GA,Keller Williams Realty Cityside
"USD $1,895 per month","3 bedroom(s), 3 bathroom(s)",Other,Active,2,40.47 m2,120.77 m2,Other,Fulton - GA,HomeSmart
"USD $2,650 per month","3 bedroom(s), 3 bathroom(s)",Other,Active,1,,174.38 m2,Other,Lumpkin - GA,Virtual Properties Realty
"USD $1,300 per month","1 bedroom(s), 1 bathroom(s)",House,Active,,687.97 m2,44.13 m2,New Traditional,Gwinnett - GA,eXp Realty
"USD $1,650 per month","2 bedroom(s), 2 bathroom(s)",Other,Active,2,637.79 m2,112.51 m2,Other,Cobb - GA,RE/MAX Around Atlanta
"USD $1,775 per month","2 bedroom(s), 2 bathroom(s)",Apartment,Active,2,426.13 m2,122.91 m2,Other,Cobb - GA,Team Realty Group
"USD $2,495 per month","3 bedroom(s), 4 bathroom(s)",Other,Active,,404.69 m2,174.47 m2,New Traditional,Forsyth - GA,Virtual Properties Realty
"USD $2,150 per month","4 bedroom(s), 3 bathroom(s)",House,Active,2,607.03 m2,184.88 m2,New Traditional,Gwinnett - GA,Real Property Management Exectives Greater Atlanta
"USD $2,400 per month","3 bedroom(s), 3 bathroom(s)",Other,Active,,,172.34 m2,New Traditional,Gwinnett - GA,Virtual Properties Realty
"USD $1,900 per month","1 bedroom(s), 1 bathroom(s)",Apartment,Active,1,69.61 m2,69.68 m2,Contemporary,Fulton - GA,ReMax Metro Atlanta
"USD $2,600 per month","3 bedroom(s), 3 bathroom(s)",Other,Active,1,121.41 m2,126.53 m2,Contemporary,Fulton - GA,Remax Premier
"USD $3,950 per month","2 bedroom(s), 2 bathroom(s)",Apartment,Active,2,"3,957.42 m2",114.83 m2,Contemporary,,
"USD $2,700 per month","3 bedroom(s), 3 bathroom(s)",Other,Active,,,175.96 m2,New Traditional,Gwinnett - GA,Virtual Properties Realty
"USD $5,000 per month","3 bedroom(s), 4 bathroom(s), 1 livingroom(s)",Apartment,Active,2,"1,822.71 m2",191.10 m2,Modern,Los Angeles,Nest Seekers International
"USD $1,550 per month","2 bedroom(s), 1 bathroom(s)",Apartment,Active,,"3,254.48 m2",126.35 m2,Other,Fulton - GA,Keller Williams Realty Metro Atlanta
"USD $1,300 per month","1 bedroom(s), 1 bathroom(s)",Apartment,Active,1,,49.05 m2,Contemporary,Dekalb - GA,First United Realty
"USD $1,950 per month","2 bedroom(s), 3 bathroom(s)",Other,Active,2,40.47 m2,136.57 m2,Other,Gwinnett - GA,Keller Williams Realty - North Atlanta
"USD $5,250 per month","4 bedroom(s), 4 bathroom(s)",Other,Active,,206.39 m2,233.65 m2,Craftsman,Fulton - GA,Atlanta Communities Real Estate Brokerage
"USD $2,800 per month","4 bedroom(s), 3 bathroom(s)",House,Active,4,,184.32 m2,Other,Gwinnett - GA,Virtual Properties Realty
"USD $2,500 per month","3 bedroom(s), 3 bathroom(s)",Other,Active,,,202.34 m2,New Traditional,Forsyth - GA,Virtual Properties Realty
"USD $2,300 per month","3 bedroom(s), 2 bathroom(s)",House,Active,,930.78 m2,143.63 m2,Ranch,Lee,Realmark Realty Group II LLC
"USD $1,600 per month","2 bedroom(s), 2 bathroom(s)",Townhouse,Active,,"1,404.26 m2",105.63 m2,Other,Lee,Lyons Real Estate Inc
"USD $3,500 per month","3 bedroom(s), 3 bathroom(s)",House,Active,,846.20 m2,226.13 m2,Ranch,Lee,DomainRealty.com LLC
"USD $2,000 per month","2 bedroom(s), 2 bathroom(s)",House,Active,,"1,315.23 m2",104.61 m2,Other,Lee,Florida Capital Realty
"USD $2,500 per month","4 bedroom(s), 2 bathroom(s)",House,Active,,941.70 m2,179.95 m2,Ranch,Lee,Coldwell Banker Realty
"USD $1,550 per month","2 bedroom(s), 2 bathroom(s)",Townhouse,Active,,929.16 m2,113.06 m2,Other,Lee,Florida Complete Realty
"USD $5,200 per month","5 bedroom(s), 4 bathroom(s)",House,Active,,"1,165.90 m2",366.50 m2,New Traditional,Lee,Watersedge Realty Group LLC
"USD $2,300 per month","4 bedroom(s), 2 bathroom(s)",House,Active,,"1,011.72 m2",144.93 m2,New Traditional,Lee,"I & E Realty, Inc."
"USD $1,150 per month","3 bedroom(s), 2 bathroom(s)",House,Active,,"30,351.45 m2",85.84 m2,Other,Bryan County,"Bodaford Property Management, LLC"
"USD $1,150 per month","3 bedroom(s), 2 bathroom(s)",House,Active,,"30,351.45 m2",85.84 m2,Other,Bryan County,"Bodaford Property Management, LLC"
"USD $1,350 per month",1 bathroom(s),House,Active,,558.47 m2,18.58 m2,New Traditional,Chatham County,"Compass Georgia, LLC"
"USD $1,795 per month","3 bedroom(s), 2 bathroom(s)",House,Active,,"4,046.86 m2",97.55 m2,Bungalow,Chatham County,"Compass Georgia, LLC"
"USD $2,800 per month","4 bedroom(s), 3 bathroom(s)",House,Active,,671.78 m2,232.82 m2,New Traditional,Chatham County,"Compass Georgia, LLC"
USD $950 per month,"2 bedroom(s), 2 bathroom(s)",Townhouse,Active,2,485.62 m2,89.37 m2,Other,Escambia,"All Saints Real Estate, Inc. DBA Realty Masters of FL"
USD $8 per month,,House,Active,,,,Other,Cook,RE/MAX Suburban
"USD $2,000 per month","2 bedroom(s), 1 bathroom(s)",Other,Active,,,,Other,Cook,Sterling Group Inc
"USD $2,650 per month","3 bedroom(s), 2 bathroom(s)",House,Active,,,148.64 m2,Other,Cook,Dream Town Realty
"USD $2,100 per month","3 bedroom(s), 1 bathroom(s)",House,Active,4,,102.94 m2,Other,DuPage,Platinum Partners Realtors
USD $28 per month,,Other,Active,,"16,227.91 m2",,Other,Kane,RE/MAX Suburban
"USD $2,800 per month","3 bedroom(s), 2 bathroom(s)",Other,Active,2,,144.00 m2,Other,Cook,RE/MAX Action
"USD $2,500 per month","3 bedroom(s), 2 bathroom(s)",House,Active,2,,124.95 m2,Other,Cook,RE/MAX Suburban
"USD $2,950 per month","4 bedroom(s), 2 bathroom(s)",House,Active,1,,103.03 m2,Split Level,Cook,"Honig Realty, Inc. (dba. Coldwell Banker Honig-Bell)"
USD $22 per month,,Other,Active,,,,Other,Cook,Keller Williams Thrive
"USD $2,000 per month","2 bedroom(s), 1 bathroom(s)",Townhouse,Active,1,,,Other,Cook,Berkshire Hathaway HomeServices American Heritage Real Estate
"USD $1,750 per month","1 bedroom(s), 1 bathroom(s)",Other,Active,2,,46.45 m2,Other,Cook,Compass
"USD $2,100 per month","2 bedroom(s), 2 bathroom(s)",Other,Active,1,,130.06 m2,Other,Cook,Berkshire Hathaway HomeServices American Heritage Real Estate
"USD $1,650 per month","2 bedroom(s), 1 bathroom(s)",Other,Active,,,,Other,Cook,CIT Property Group
"USD $7,995 per month","3 bedroom(s), 4 bathroom(s)",Other,Active,2,,260.13 m2,High Rise,Cook,Compass
"USD $2,995 per month","2 bedroom(s), 2 bathroom(s)",House,Active,1,,102.19 m2,Other,Cook,Compass Real Estate
"USD $2,200 per month","1 bedroom(s), 1 bathroom(s)",Other,Active,1,,74.32 m2,Loft,Cook,Mark Allen Realty
"USD $1,750 per month","2 bedroom(s), 1 bathroom(s)",Other,Active,,,78.97 m2,Other,Cook,"Core Realty and Investments, Inc"
"USD $3,000 per month","3 bedroom(s), 3 bathroom(s)",Other,Active,2,,162.12 m2,Other,Kane,REMAX UNITED
"USD $3,650 per month","3 bedroom(s), 2 bathroom(s)",Other,Active,3,,194.07 m2,Other,Cook,Exit Strategy Realty
"USD $3,050 per month","2 bedroom(s), 2 bathroom(s)",Other,Active,2,,117.99 m2,Other,Cook,Compass Real Estate
"USD $2,350 per month","2 bedroom(s), 3 bathroom(s)",Townhouse,Active,2,,140.75 m2,Other,DuPage,Jianqiu Zang
"USD $13,000 per month","7 bedroom(s), 7 bathroom(s), 1 livingroom(s)",House,Active,3,,743.22 m2,Other,Cook,Open Path Realty
"USD $2,500 per month","2 bedroom(s), 2 bathroom(s)",Other,Active,,,83.61 m2,Other,Cook,Remax 10
"USD $4,200 per month","3 bedroom(s), 2 bathroom(s)",Other,Active,1,,157.94 m2,Other,Cook,Keller Williams Chicago ONEChicago
"USD $1,100 per month","2 bedroom(s), 1 bathroom(s)",Other,Active,1,,,Other,Cook,RE/MAX MI CASA
"USD $2,400 per month","2 bedroom(s), 3 bathroom(s)",Townhouse,Active,2,,153.85 m2,Other,Kendall,Compass Real Estate
"USD $6,980 per month","5 bedroom(s), 6 bathroom(s)",House,Active,2,,374.59 m2,Other,Cook,RE/MAX Top Performers
USD $900 per month,"3 bedroom(s), 1 bathroom(s)",Other,Active,2,,67.35 m2,Other,LaSalle,"Janko Realty & Development, LLC"
